Fiscal Year,Debt Service Requirement-Non-Voter Approved,Debt Service Requirement-Voter Approved,Debt Service Requirement-Total,General Fund Receipts,percentage-Ratio of Debt Service to Total Receipts: Non-Voter Approved,percentage-Ratio of Debt Service to Total Receipts: Voter Approved,percentage-Ratio of Debt Service to Total Receipts:Total
2014,218868,184844,403712,4960718,0.0441,0.0373,0.0814
2015,221428,152477,373905,5247997,0.0422,0.0291,0.0713
2016,202603,138054,340657,5338014,0.038,0.0259,0.0639
2017,202444,120166,322610,5628790,0.036,0.0213,0.0573
2018,211576,104429,316005,5819502,0.0364,0.0179,0.0543
2019,220999,124562,345561,6236881,0.0354,0.02,0.0554
2020,217708,136815,354523,6374231,0.0342,0.0215,0.0557
2021,184293,128979,313272,6369977,0.0289,0.0202,0.0491
2022,206059,117845,323904,7594790,0.0271,0.0155,0.0426
2023,181243,114744,295987,7581710,0.0239,0.0151,0.039
2024,174930,138016,312946,7743289,0.0226,0.0178,0.0404
2025,175777,109468,285245,7738381,0.0227,0.0141,0.0368
